variable_id,dataset,variable,station_id,lat_degree,latitude,longitude,lat_idx,lon_idx
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,18,27,27.125,-110.125,20,21
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,19,28,28.625,-113.125,26,9
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,20,28,28.375,-112.375,25,12
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,21,28,28.125,-111.375,24,16
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,22,29,29.625,-113.875,30,6
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,23,29,29.375,-113.125,29,9
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,24,29,29.375,-112.375,29,12
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,25,30,30.625,-114.375,34,4
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,26,30,30.625,-113.625,34,7
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,27,30,30.375,-112.875,33,10
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,28,31,31.375,-114.875,37,2
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,29,31,31.625,-114.375,38,4
NOAA OISST v2.1::anom,NOAA OISST v2.1,anom,30,31,31.125,-113.375,36,8
NOAA OISST v2.1::err,NOAA OISST v2.1,err,1,22,22.875,-107.625,3,31
NOAA OISST v2.1::err,NOAA OISST v2.1,err,2,22,22.625,-106.875,2,34
NOAA OISST v2.1::err,NOAA OISST v2.1,err,3,22,22.875,-106.625,3,35
NOAA OISST v2.1::err,NOAA OISST v2.1,err,4,23,23.875,-109.125,7,25
NOAA OISST v2.1::err,NOAA OISST v2.1,err,5,23,23.625,-107.875,6,30
NOAA OISST v2.1::err,NOAA OISST v2.1,err,6,23,23.125,-106.875,4,34
NOAA OISST v2.1::err,NOAA OISST v2.1,err,7,24,24.875,-110.125,11,21
NOAA OISST v2.1::err,NOAA OISST v2.1,err,8,24,24.625,-108.875,10,26
NOAA OISST v2.1::err,NOAA OISST v2.1,err,9,24,24.125,-107.625,8,31
NOAA OISST v2.1::err,NOAA OISST v2.1,err,10,25,25.875,-111.125,15,17
NOAA OISST v2.1::err,NOAA OISST v2.1,err,11,25,25.625,-109.875,14,22
NOAA OISST v2.1::err,NOAA OISST v2.1,err,12,25,25.125,-108.375,12,28
NOAA OISST v2.1::err,NOAA OISST v2.1,err,13,26,26.875,-111.875,19,14
NOAA OISST v2.1::err,NOAA OISST v2.1,err,14,26,26.875,-110.625,19,19
NOAA OISST v2.1::err,NOAA OISST v2.1,err,15,26,26.375,-109.375,17,24
NOAA OISST v2.1::err,NOAA OISST v2.1,err,16,27,27.875,-112.625,23,11
NOAA OISST v2.1::err,NOAA OISST v2.1,err,17,27,27.625,-111.375,22,16
NOAA OISST v2.1::err,NOAA OISST v2.1,err,18,27,27.125,-110.125,20,21
NOAA OISST v2.1::err,NOAA OISST v2.1,err,19,28,28.625,-113.125,26,9
NOAA OISST v2.1::err,NOAA OISST v2.1,err,20,28,28.375,-112.375,25,12
NOAA OISST v2.1::err,NOAA OISST v2.1,err,21,28,28.125,-111.375,24,16
NOAA OISST v2.1::err,NOAA OISST v2.1,err,22,29,29.625,-113.875,30,6
NOAA OISST v2.1::err,NOAA OISST v2.1,err,23,29,29.375,-113.125,29,9
NOAA OISST v2.1::err,NOAA OISST v2.1,err,24,29,29.375,-112.375,29,12
NOAA OISST v2.1::err,NOAA OISST v2.1,err,25,30,30.625,-114.375,34,4
NOAA OISST v2.1::err,NOAA OISST v2.1,err,26,30,30.625,-113.625,34,7
NOAA OISST v2.1::err,NOAA OISST v2.1,err,27,30,30.375,-112.875,33,10
NOAA OISST v2.1::err,NOAA OISST v2.1,err,28,31,31.375,-114.875,37,2
NOAA OISST v2.1::err,NOAA OISST v2.1,err,29,31,31.625,-114.375,38,4
NOAA OISST v2.1::err,NOAA OISST v2.1,err,30,31,31.125,-113.375,36,8
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,1,22,22.875,-107.625,3,31
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,2,22,22.625,-106.875,2,34
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,3,22,22.875,-106.625,3,35
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,4,23,23.875,-109.125,7,25
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,5,23,23.625,-107.875,6,30
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,6,23,23.125,-106.875,4,34
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,7,24,24.875,-110.125,11,21
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,8,24,24.625,-108.875,10,26
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,9,24,24.125,-107.625,8,31
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,10,25,25.875,-111.125,15,17
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,11,25,25.625,-109.875,14,22
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,12,25,25.125,-108.375,12,28
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,13,26,26.875,-111.875,19,14
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,14,26,26.875,-110.625,19,19
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,15,26,26.375,-109.375,17,24
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,16,27,27.875,-112.625,23,11
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,17,27,27.625,-111.375,22,16
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,18,27,27.125,-110.125,20,21
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,19,28,28.625,-113.125,26,9
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,20,28,28.375,-112.375,25,12
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,21,28,28.125,-111.375,24,16
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,22,29,29.625,-113.875,30,6
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,23,29,29.375,-113.125,29,9
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,24,29,29.375,-112.375,29,12
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,25,30,30.625,-114.375,34,4
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,26,30,30.625,-113.625,34,7
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,27,30,30.375,-112.875,33,10
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,28,31,31.375,-114.875,37,2
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,29,31,31.625,-114.375,38,4
NOAA OISST v2.1::sst,NOAA OISST v2.1,sst,30,31,31.125,-113.375,36,8
